PlayerID,TeamID,Team,TeamLogo,Number,Name,Position,Age,Nationality,Market Value,Image,Scor
fc_universitatea_cluj_andrei_stefan,fc_universitatea_cluj,FC Universitatea Cluj,fc_universitatea_cluj.png,-,Andrei Stefan,Centre-Back,"Jul 6, 2002 (22)",Romania,€25k,fc_universitatea_cluj_andrei_stefan.png,2
fc_universitatea_cluj_alexandru_chipciu,fc_universitatea_cluj,FC Universitatea Cluj,fc_universitatea_cluj.png,27,Alexandru Chipciu,Left-Back,"May 18, 1989 (35)",Romania,€400k,fc_universitatea_cluj_alexandru_chipciu.png,4
fc_universitatea_cluj_radu_boboc,fc_universitatea_cluj,FC Universitatea Cluj,fc_universitatea_cluj.png,24,Radu Boboc,Right-Back,"Apr 24, 1999 (25)",Romania,€1.20m,fc_universitatea_cluj_radu_boboc.png,3
fc_universitatea_cluj_dorinel_oancea,fc_universitatea_cluj,FC Universitatea Cluj,fc_universitatea_cluj.png,26,Dorinel Oancea,Right-Back,"Apr 2, 1997 (27)",Romania,€450k,fc_universitatea_cluj_dorinel_oancea.png,3
fc_universitatea_cluj_ovidiu_popescu,fc_universitatea_cluj,FC Universitatea Cluj,fc_universitatea_cluj.png,23,Ovidiu Popescu,Defensive Midfield,"Feb 27, 1994 (30)",Romania,€900k,fc_universitatea_cluj_ovidiu_popescu.png,3
fc_universitatea_cluj_gabriel_simion,fc_universitatea_cluj,FC Universitatea Cluj,fc_universitatea_cluj.png,98,Gabriel Simion,Defensive Midfield,"May 22, 1998 (26)",Romania,€800k,fc_universitatea_cluj_gabriel_simion.png,3
fc_universitatea_cluj_razvan_oaida,fc_universitatea_cluj,FC Universitatea Cluj,fc_universitatea_cluj.png,4,Razvan Oaida,Defensive Midfield,"Mar 2, 1998 (26)",Romania,€700k,fc_universitatea_cluj_razvan_oaida.png,3
fc_universitatea_cluj_andrei_artean,fc_universitatea_cluj,FC Universitatea Cluj,fc_universitatea_cluj.png,18,Andrei Artean,Defensive Midfield,"Aug 14, 1993 (31)",Romania,€700k,fc_universitatea_cluj_andrei_artean.png,3
fc_universitatea_cluj_ovidiu_bic,fc_universitatea_cluj,FC Universitatea Cluj,fc_universitatea_cluj.png,94,Ovidiu Bic,Central Midfield,"Feb 23, 1994 (30)",Romania,€1.20m,fc_universitatea_cluj_ovidiu_bic.png,3
fc_universitatea_cluj_vadim_rata,fc_universitatea_cluj,FC Universitatea Cluj,fc_universitatea_cluj.png,22,Vadim Rata,Central Midfield,"May 5, 1993 (31)",Moldova,€750k,fc_universitatea_cluj_vadim_rata.png,2
fc_universitatea_cluj_dorin_codrea,fc_universitatea_cluj,FC Universitatea Cluj,fc_universitatea_cluj.png,8,Dorin Codrea,Central Midfield,"Jun 13, 1997 (27)",Romania,€450k,fc_universitatea_cluj_dorin_codrea.png,2
fc_universitatea_cluj_dan_nistor,fc_universitatea_cluj,FC Universitatea Cluj,fc_universitatea_cluj.png,10,Dan Nistor,Central Midfield,"May 6, 1988 (36)",Romania,€400k,fc_universitatea_cluj_dan_nistor.png,4
fc_universitatea_cluj_alexandru_bota,fc_universitatea_cluj,FC Universitatea Cluj,fc_universitatea_cluj.png,20,Alexandru Bota,Central Midfield,"Mar 31, 2008 (16)",Romania,€50k,fc_universitatea_cluj_alexandru_bota.png,2
fc_universitatea_cluj_robert_silaghi,fc_universitatea_cluj,FC Universitatea Cluj,fc_universitatea_cluj.png,7,Robert Silaghi,Attacking Midfield,"Apr 2, 2002 (22)",Romania,€650k,fc_universitatea_cluj_robert_silaghi.png,3
