Team,Number,Name,Position,Age,Nationality,Market Value
FCV Farul Constanta,22,Dan Sirbu,Right-Back,"Apr 22, 2003 (21)",Romania,€700k
FCV Farul Constanta,2,Ionut Cercel,Right-Back,"Nov 14, 2006 (18)",Romania,€200k
FCV Farul Constanta,45,Mario Aioanei,Right-Back,"May 25, 2005 (19)",Romania,€150k
FCV Farul Constanta,6,Victor Dican,Defensive Midfield,"Oct 11, 2000 (24)",Romania,€750k
FCV Farul Constanta,14,Dragos Nedelcu,Defensive Midfield,"Feb 16, 1997 (27)",Romania,€500k
FCV Farul Constanta,80,Nicolas Popescu,Defensive Midfield,"Jan 2, 2003 (22)",Romania,€200k
FCV Farul Constanta,18,Luca Banu,Defensive Midfield,"Jan 31, 2005 (19)",Romania,€100k
FCV Farul Constanta,8,Ionut Vina,Central Midfield,"Feb 20, 1995 (29)",Romania,€700k
FCV Farul Constanta,23,Carlo Casap,Central Midfield,"Dec 29, 1998 (26)",Romania,€300k
FCV Farul Constanta,77,Andrei Ciobanu,Central Midfield,"Jan 18, 1998 (27)",Romania,€250k
FCV Farul Constanta,20,Eduard Radaslavescu,Attacking Midfield,"Jul 30, 2004 (20)",Romania,€550k
FCV Farul Constanta,27,Ionut Cojocaru,Left Winger,"Jul 28, 2003 (21)",Romania,€200k
FCV Farul Constanta,30,Narek Grigoryan,Right Winger,"Jun 17, 2001 (23)",Armenia,€700k
FCV Farul Constanta,99,Iustin Doicaru,Right Winger,"Feb 7, 2007 (17)",Romania,€150k
FCV Farul Constanta,66,Robert Mustaca,Right Winger,"Oct 5, 2002 (22)",Romania,€50k
FCV Farul Constanta,9,Rivaldinho,Centre-Forward,"Apr 29, 1995 (29)",Brazil,€900k
FCV Farul Constanta,7,Denis Alibec,Centre-Forward,"Jan 5, 1991 (34)",Romania,€700k
FCV Farul Constanta,10,Gabriel Iancu,Centre-Forward,"Apr 15, 1994 (30)",Romania,€550k
Petrolul Ploiesti,12,Mihai Esanu,Goalkeeper,"Jul 25, 1998 (26)",Romania,€200k
Petrolul Ploiesti,34,Oscar Linner,Goalkeeper,"Feb 23, 1997 (27)",Sweden,€200k
Petrolul Ploiesti,1,Raul Balbarau,Goalkeeper,"Apr 7, 2001 (23)",Romania,€50k
Petrolul Ploiesti,2,Marian Huja,Centre-Back,"Aug 5, 1999 (25)",Portugal,€1.20m
Petrolul Ploiesti,4,Paul Papp,Centre-Back,"Nov 11, 1989 (35)",Romania,€350k
Petrolul Ploiesti,69,Yohan Roche,Centre-Back,"Jul 7, 1997 (27)",Benin,€250k
Petrolul Ploiesti,3,Alexandru Stanica,Centre-Back,"Sep 6, 2000 (24)",Romania,€200k
Petrolul Ploiesti,15,Hasan Jahic,Centre-Back,"Jul 30, 2001 (23)",Norway,€100k
Petrolul Ploiesti,5,Valentin Ticu,Left-Back,"Sep 19, 2000 (24)",Romania,€700k
Petrolul Ploiesti,-,Bogdan Marian,Left-Back,"Dec 4, 2004 (20)",Romania,-
Petrolul Ploiesti,24,Ricardinho,Right-Back,"Mar 24, 1994 (30)",Portugal,€650k
Petrolul Ploiesti,22,Denis Radu,Right-Back,"Mar 25, 2003 (21)",Romania,€400k
Petrolul Ploiesti,27,Fabricio Baiano,Defensive Midfield,"Jun 13, 1992 (32)",Brazil,€200k
Petrolul Ploiesti,6,Tommi Jyry,Central Midfield,"Aug 16, 1999 (25)",Finland,€650k
Petrolul Ploiesti,23,Tidiane Keita,Central Midfield,"Sep 18, 1996 (28)",France,€650k
Petrolul Ploiesti,44,Lucian Dumitriu,Central Midfield,"Sep 21, 1992 (32)",Romania,€350k
Petrolul Ploiesti,8,Alexandru Mateiu,Central Midfield,"Dec 10, 1989 (35)",Romania,€300k
Petrolul Ploiesti,30,Ioan Tolea,Central Midfield,"May 11, 2003 (21)",Romania,€150k
Petrolul Ploiesti,33,Victor Stancovici,Central Midfield,"Oct 26, 2005 (19)",Romania,€50k
Petrolul Ploiesti,21,David Paraschiv,Central Midfield,"Sep 28, 2006 (18)",Romania,€25k
Petrolul Ploiesti,20,Sergiu Hanca,Right Midfield,"Apr 4, 1992 (32)",Romania,€350k
Petrolul Ploiesti,10,Mario Bratu,Right Midfield,"Jun 7, 2002 (22)",Romania,€300k
Petrolul Ploiesti,7,Gheorghe Grozav,Left Winger,"Sep 29, 1990 (34)",Romania,€450k
Petrolul Ploiesti,36,Alin Botogan,Left Winger,"Feb 21, 2004 (20)",Romania,€150k
Petrolul Ploiesti,17,Mihnea Radulescu,Right Winger,"Sep 17, 2005 (19)",Romania,€550k
Petrolul Ploiesti,19,Alexandru Tudorie,Centre-Forward,"Mar 19, 1996 (28)",Romania,€1.00m
Petrolul Ploiesti,14,Nana Akosah-Bempah,Centre-Forward,"Aug 29, 1997 (27)",United States,€300k
Petrolul Ploiesti,9,Christian Irobiso,Centre-Forward,"May 28, 1993 (31)",Nigeria,€200k
